Name;Action;Adventure;Children;Comedy;Crime;Drama;Horror;Romance;SciFi;Thriller
Mighty Aphrodite (1995);0;0;0;1;0;0;0;0;0;0
Lamerica (1994);0;0;0;0;0;1;0;0;0;0
Big Green, The (1995);0;0;1;1;0;0;0;0;0;0
Georgia (1995);0;0;0;0;0;1;0;0;0;0
Kids of the Round Table (1995);0;1;1;0;0;0;0;0;0;0
Home for the Holidays (1995);0;0;0;0;0;1;0;0;0;0
Postino, Il (The Postman) (1994);0;0;0;0;0;1;0;1;0;0
Confessional, The (Le Confessionnal) (1995);0;0;0;0;0;1;0;0;0;0
Indian in the Cupboard, The (1995);0;1;1;0;0;0;0;0;0;0
Eye for an Eye (1996);0;0;0;0;0;1;0;0;0;1
Mr. Holland's Opus (1995);0;0;0;0;0;1;0;0;0;0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996);0;0;0;1;0;0;0;0;0;0
Two if by Sea (1996);0;0;0;1;0;0;0;1;0;0
Bio-Dome (1996);0;0;0;1;0;0;0;0;0;0
Lawnmower Man 2: Beyond Cyberspace (1996);0;0;0;0;0;0;0;0;1;1
Two Bits (1995);0;0;0;0;0;1;0;0;0;0
French Twist (Gazon maudit) (1995);0;0;0;1;0;0;0;1;0;0
Friday (1995);0;0;0;1;0;0;0;0;0;0
From Dusk Till Dawn (1996);1;0;0;1;1;0;1;0;0;1
Fair Game (1995);1;0;0;0;0;0;0;0;0;0
Kicking and Screaming (1995);0;0;0;1;0;1;0;0;0;0
Mis?ables, Les (1995);0;0;0;0;0;1;0;0;0;0
Bed of Roses (1996);0;0;0;0;0;1;0;1;0;0
Big Bully (1996);0;0;0;1;0;1;0;0;0;0
Screamers (1995);0;0;0;0;0;0;0;0;1;1
Nico Icon (1995);0;0;0;0;0;0;0;0;0;0
Crossing Guard, The (1995);0;0;0;0;0;1;0;0;0;0
Juror, The (1996);0;0;0;0;0;1;0;0;0;1
White Balloon, The (Badkonake Sefid ) (1995);0;0;0;0;0;1;0;0;0;0
Things to Do in Denver when You're Dead (1995);0;0;0;0;1;1;0;1;0;0
Antonia's Line (Antonia) (1995);0;0;0;0;0;1;0;0;0;0
Once Upon a Time... When We Were Colored (1995);0;0;0;0;0;1;0;0;0;0
Last Summer in the Hamptons (1995);0;0;0;1;0;1;0;0;0;0
Angels and Insects (1995);0;0;0;0;0;1;0;1;0;0
White Squall (1996);0;1;0;0;0;1;0;0;0;0
Dunston Checks In (1996);0;0;1;1;0;0;0;0;0;0
Black Sheep (1996);0;0;0;1;0;0;0;0;0;0
Nick of Time (1995);1;0;0;0;0;0;0;0;0;1
Journey of August King, The (1995);0;0;0;0;0;1;0;0;0;0
Mary Reilly (1996);0;0;0;0;0;1;0;0;0;1
Vampire in Brooklyn (1995);0;0;0;1;0;0;0;1;0;0
Beautiful Girls (1996);0;0;0;0;0;1;0;0;0;0
Broken Arrow (1996);1;0;0;0;0;0;0;0;0;1
In the Bleak Midwinter (1995);0;0;0;1;0;0;0;0;0;0
Hate (Haine, La) (1995);0;0;0;0;0;1;0;0;0;0
Shopping (1994);1;0;0;0;0;0;0;0;0;1
Heidi Fleiss: Hollywood Madam (1995);0;0;0;0;0;0;0;0;0;0
City Hall (1996);0;0;0;0;0;1;0;0;0;1
Bottle Rocket (1996);0;0;0;1;0;0;0;0;0;0
Mr. Wrong (1996);0;0;0;1;0;0;0;0;0;0
Unforgettable (1996);0;0;0;0;0;0;0;0;0;1
Happy Gilmore (1996);0;0;0;1;0;0;0;0;0;0
Bridges of Madison County, The (1995);0;0;0;0;0;1;0;1;0;0
Nobody Loves Me (Keiner liebt mich) (1994);0;0;0;1;0;1;0;0;0;0
Muppet Treasure Island (1996);0;1;1;1;0;0;0;0;0;0
Catwalk (1995);0;0;0;0;0;0;0;0;0;0
Headless Body in Topless Bar (1995);0;0;0;1;0;0;0;0;0;0
Braveheart (1995);1;0;0;0;0;1;0;0;0;0
Taxi Driver (1976);0;0;0;0;0;1;0;0;0;1
Rumble in the Bronx (1995);1;1;0;0;1;0;0;0;0;0
Before and After (1996);0;0;0;0;0;1;0;0;0;0
Margaret's Museum (1995);0;0;0;0;0;1;0;0;0;0
Happiness Is in the Field (1995);0;0;0;1;0;0;0;0;0;0
Anne Frank Remembered (1995);0;0;0;0;0;0;0;0;0;0
Young Poisoner's Handbook, The (1995);0;0;0;0;1;0;0;0;0;0
If Lucy Fell (1996);0;0;0;1;0;0;0;1;0;0
Steal Big, Steal Little (1995);0;0;0;1;0;0;0;0;0;0
Race the Sun (1996);0;0;0;0;0;1;0;0;0;0
Boys of St. Vincent, The (1993);0;0;0;0;0;1;0;0;0;0
Boomerang (1992);0;0;0;1;0;0;0;1;0;0
Chungking Express (1994);0;0;0;0;0;1;0;1;0;0
Star Maker, The (Uomo delle stelle, L') (1995);0;0;0;0;0;1;0;0;0;0
Flirting With Disaster (1996);0;0;0;1;0;0;0;0;0;0
NeverEnding Story III, The (1994);0;1;1;0;0;0;0;0;0;0
Silence of the Palace, The (Saimt el Qusur) (1994);0;0;0;0;0;1;0;0;0;0
Jupiter's Wife (1994);0;0;0;0;0;0;0;0;0;0
Pie in the Sky (1995);0;0;0;1;0;0;0;1;0;0
Angela (1995);0;0;0;0;0;1;0;0;0;0
Frankie Starlight (1995);0;0;0;0;0;1;0;1;0;0
Jade (1995);0;0;0;0;0;0;0;0;0;1
Nueba Yol (1995);0;0;0;1;0;1;0;0;0;0
Sonic Outlaws (1995);0;0;0;0;0;0;0;0;0;0
Down Periscope (1996);0;0;0;1;0;0;0;0;0;0
From the Journals of Jean Seberg (1995);0;0;0;0;0;0;0;0;0;0
Man of the Year (1995);0;0;0;0;0;0;0;0;0;0
Neon Bible, The (1995);0;0;0;0;0;1;0;0;0;0
Target (1995);1;0;0;0;0;1;0;0;0;0
Up Close and Personal (1996);0;0;0;0;0;1;0;1;0;0
Birdcage, The (1996);0;0;0;1;0;0;0;0;0;0
Shadows (Cienie) (1988);0;0;0;0;0;1;0;0;0;0
Gospa (1995);0;0;0;0;0;1;0;0;0;0
Brothers McMullen, The (1995);0;0;0;1;0;0;0;0;0;0
Bad Boys (1995);1;0;0;0;0;0;0;0;0;0
Amazing Panda Adventure, The (1995);0;1;1;0;0;0;0;0;0;0
Basketball Diaries, The (1995);0;0;0;0;0;1;0;0;0;0
Awfully Big Adventure, An (1995);0;0;0;0;0;1;0;0;0;0
Amateur (1994);0;0;0;0;1;1;0;0;0;1
Apollo 13 (1995);0;0;0;0;0;1;0;0;0;0
Rob Roy (1995);0;0;0;0;0;1;0;1;0;0
Addiction, The (1995);0;0;0;0;0;0;1;0;0;0
Batman Forever (1995);1;1;0;1;1;0;0;0;0;0
Belle de jour (1967);0;0;0;0;0;1;0;0;0;0
Beyond Rangoon (1995);0;0;0;0;0;1;0;0;0;0
Blue in the Face (1995);0;0;0;1;0;0;0;0;0;0
Canadian Bacon (1994);0;0;0;1;0;0;0;0;0;0
Casper (1995);0;1;1;0;0;0;0;0;0;0
Clockers (1995);0;0;0;0;0;1;0;0;0;0
Congo (1995);1;1;0;0;0;0;0;0;1;0
Crimson Tide (1995);0;0;0;0;0;1;0;0;0;1
Crumb (1994);0;0;0;0;0;0;0;0;0;0
Desperado (1995);1;0;0;0;0;0;0;1;0;1
Devil in a Blue Dress (1995);0;0;0;0;1;0;0;0;0;1
Die Hard: With a Vengeance (1995);1;0;0;0;0;0;0;0;0;1
Doom Generation, The (1995);0;0;0;1;0;1;0;0;0;0
Feast of July (1995);0;0;0;0;0;1;0;0;0;0
First Knight (1995);1;1;0;0;0;1;0;1;0;0
Free Willy 2: The Adventure Home (1995);0;1;1;0;0;1;0;0;0;0
Hackers (1995);1;0;0;0;1;0;0;0;0;1
Jeffrey (1995);0;0;0;1;0;0;0;0;0;0
Johnny Mnemonic (1995);1;0;0;0;0;0;0;0;1;1
Judge Dredd (1995);1;1;0;0;0;0;0;0;1;0
Jury Duty (1995);0;0;0;1;0;0;0;0;0;0
Kids (1995);0;0;0;0;0;1;0;0;0;0
Living in Oblivion (1995);0;0;0;1;0;0;0;0;0;0
Lord of Illusions (1995);0;0;0;0;0;0;1;0;0;0
Love & Human Remains (1993);0;0;0;1;0;0;0;0;0;0
Mad Love (1995);0;0;0;0;0;1;0;1;0;0
Mallrats (1995);0;0;0;1;0;0;0;0;0;0
Mighty Morphin Power Rangers: The Movie (1995);1;0;1;0;0;0;0;0;0;0
Moonlight and Valentino (1995);0;0;0;0;0;1;0;1;0;0
Mute Witness (1994);0;0;0;0;0;0;0;0;0;1
Nadja (1994);0;0;0;0;0;1;0;0;0;0
Net, The (1995);0;0;0;0;0;0;0;0;1;1
Nine Months (1995);0;0;0;1;0;0;0;0;0;0
Party Girl (1995);0;0;0;1;0;0;0;0;0;0
Prophecy, The (1995);0;0;0;0;0;0;1;0;0;0
Reckless (1995);0;0;0;1;0;0;0;0;0;0
Safe (1995);0;0;0;0;0;0;0;0;0;1
Scarlet Letter, The (1995);0;0;0;0;0;1;0;0;0;0
Show, The (1995);0;0;0;0;0;0;0;0;0;0
Showgirls (1995);0;0;0;0;0;1;0;0;0;0
Smoke (1995);0;0;0;0;0;1;0;0;0;0
Something to Talk About (1995);0;0;0;1;0;1;0;1;0;0
Species (1995);0;0;0;0;0;0;1;0;1;0
Stars Fell on Henrietta, The (1995);0;0;0;0;0;1;0;0;0;0
Strange Days (1995);1;0;0;0;1;0;0;0;1;0
Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964);0;0;0;0;0;1;0;0;0;0
Tie That Binds, The (1995);0;0;0;0;0;0;0;0;0;1
Three Wishes (1995);0;0;0;0;0;1;0;0;0;0
Total Eclipse (1995);0;0;0;0;0;1;0;1;0;0
To Wong Foo, Thanks for Everything! Julie Newmar (1995);0;0;0;1;0;0;0;0;0;0
Under Siege 2: Dark Territory (1995);1;0;0;0;0;0;0;0;0;0
Unstrung Heroes (1995);0;0;0;1;0;1;0;0;0;0
Unzipped (1995);0;0;0;0;0;0;0;0;0;0
Walk in the Clouds, A (1995);0;0;0;0;0;1;0;1;0;0
Waterworld (1995);1;1;0;0;0;0;0;0;0;0
White Man's Burden (1995);0;0;0;0;0;1;0;0;0;0
Wild Bill (1995);0;0;0;0;0;0;0;0;0;0
Browning Version, The (1994);0;0;0;0;0;1;0;0;0;0
Bushwhacked (1995);0;0;0;1;0;0;0;0;0;0
Burnt By the Sun (Utomlyonnye solntsem) (1994);0;0;0;0;0;1;0;0;0;0
Before the Rain (Pred dozhdot) (1994);0;0;0;0;0;1;0;0;0;0
Before Sunrise (1995);0;0;0;0;0;1;0;1;0;0
Billy Madison (1995);0;0;0;1;0;0;0;0;0;0
Babysitter, The (1995);0;0;0;0;0;1;0;0;0;1
Boys on the Side (1995);0;0;0;1;0;1;0;0;0;0
Cure, The (1995);0;0;0;0;0;1;0;0;0;0
Castle Freak (1995);0;0;0;0;0;0;1;0;0;0
Circle of Friends (1995);0;0;0;0;0;1;0;1;0;0
Clerks (1994);0;0;0;1;0;0;0;0;0;0
Don Juan DeMarco (1995);0;0;0;1;0;1;0;1;0;0
Disclosure (1994);0;0;0;0;0;1;0;0;0;1
Dream Man (1995);0;0;0;0;0;0;0;0;0;1
Drop Zone (1994);1;0;0;0;0;0;0;0;0;0
Destiny Turns on the Radio (1995);0;0;0;1;0;0;0;0;0;0
Death and the Maiden (1994);0;0;0;0;0;1;0;0;0;1
Dolores Claiborne (1994);0;0;0;0;0;1;0;0;0;1
Dumb & Dumber (1994);0;0;0;1;0;0;0;0;0;0
Eat Drink Man Woman (1994);0;0;0;1;0;1;0;0;0;0
Exotica (1994);0;0;0;0;0;1;0;0;0;0
Exit to Eden (1994);0;0;0;1;0;0;0;0;0;0
Ed Wood (1994);0;0;0;1;0;1;0;0;0;0
French Kiss (1995);0;0;0;1;0;0;0;1;0;0
Forget Paris (1995);0;0;0;1;0;0;0;1;0;0
Far From Home: The Adventures of Yellow Dog (1995);0;1;1;0;0;0;0;0;0;0
Goofy Movie, A (1995);0;0;1;1;0;0;0;1;0;0
Hideaway (1995);0;0;0;0;0;0;0;0;0;1
Fluke (1995);0;0;1;0;0;1;0;0;0;0
Farinelli: il castrato (1994);0;0;0;0;0;1;0;0;0;0
Gordy (1995);0;0;0;1;0;0;0;0;0;0
Gumby: The Movie (1995);0;0;1;0;0;0;0;0;0;0
Glass Shield, The (1994);0;0;0;0;1;1;0;0;0;0
Hoop Dreams (1994);0;0;0;0;0;0;0;0;0;0
Heavenly Creatures (1994);0;0;0;0;0;1;0;1;0;1
Houseguest (1994);0;0;0;1;0;0;0;0;0;0
Immortal Beloved (1994);0;0;0;0;0;1;0;1;0;0
Heavyweights (1994);0;0;1;1;0;0;0;0;0;0
Hunted, The (1995);1;0;0;0;0;0;0;0;0;0
I.Q. (1994);0;0;0;1;0;0;0;1;0;0
Interview with the Vampire (1994);0;0;0;0;0;1;1;0;0;0
Jefferson in Paris (1995);0;0;0;0;0;1;0;0;0;0
Jerky Boys, The (1994);0;0;0;1;0;0;0;0;0;0
Junior (1994);0;0;0;1;0;0;0;0;1;0
Just Cause (1995);0;0;0;0;0;0;0;0;0;1
Kid in King Arthur's Court, A (1995);0;1;1;1;0;0;0;1;0;0
Kiss of Death (1995);0;0;0;0;1;1;0;0;0;1
Star Wars: Episode IV - A New Hope (1977);1;1;0;0;0;0;0;0;1;0
Little Women (1994);0;0;0;0;0;1;0;0;0;0
Little Princess, A (1995);0;0;1;0;0;1;0;0;0;0
Ladybird Ladybird (1994);0;0;0;0;0;1;0;0;0;0
Enfer, L' (1994);0;0;0;0;0;1;0;0;0;0
Like Water for Chocolate (Como agua para chocolate) (1992);0;0;0;0;0;1;0;1;0;0
Legends of the Fall (1994);0;0;0;0;0;1;0;1;0;0
Major Payne (1994);0;0;0;1;0;0;0;0;0;0
Little Odessa (1994);0;0;0;0;0;1;0;0;0;0
My Crazy Life (Mi vida loca) (1993);0;0;0;0;0;1;0;0;0;0
Love Affair (1994);0;0;0;0;0;1;0;1;0;0
Losing Isaiah (1995);0;0;0;0;0;1;0;0;0;0
Madness of King George, The (1994);0;0;0;0;0;1;0;0;0;0
Mary Shelley's Frankenstein (1994);0;0;0;0;0;1;1;0;0;0
Man of the House (1995);0;0;0;1;0;0;0;0;0;0
Mixed Nuts (1994);0;0;0;1;0;0;0;0;0;0
Milk Money (1994);0;0;0;1;0;0;0;1;0;0
Miracle on 34th Street (1994);0;0;0;0;0;1;0;0;0;0
Miami Rhapsody (1995);0;0;0;1;0;0;0;0;0;0
My Family (1995);0;0;0;0;0;1;0;0;0;0
Murder in the First (1995);0;0;0;0;0;1;0;0;0;1
Nobody's Fool (1994);0;0;0;0;0;1;0;0;0;0
Nell (1994);0;0;0;0;0;1;0;0;0;0
New Jersey Drive (1995);0;0;0;0;1;1;0;0;0;0
New York Cop (1996);1;0;0;0;1;0;0;0;0;0
Beyond Bedlam (1993);0;0;0;0;0;1;1;0;0;0
Nemesis 2: Nebula (1995);1;0;0;0;0;0;0;0;1;1
Nina Takes a Lover (1994);0;0;0;1;0;0;0;1;0;0
Natural Born Killers (1994);1;0;0;0;0;0;0;0;0;1
Only You (1994);0;0;0;1;0;0;0;1;0;0
Once Were Warriors (1994);0;0;0;0;1;1;0;0;0;0
Poison Ivy II (1995);0;0;0;0;0;0;0;0;0;1
Outbreak (1995);1;0;0;0;0;1;0;0;0;1
Professional, The (a.k.a. Leon: The Professional) (1994);0;0;0;0;1;1;0;1;0;1
Perez Family, The (1995);0;0;0;1;0;0;0;1;0;0
Pyromaniac's Love Story, A (1995);0;0;0;1;0;0;0;1;0;0
Pulp Fiction (1994);0;0;0;0;1;1;0;0;0;0
Panther (1995);0;0;0;0;0;1;0;0;0;0
Pushing Hands (1992);0;0;0;1;0;0;0;0;0;0
Priest (1994);0;0;0;0;0;1;0;0;0;0
Quiz Show (1994);0;0;0;0;0;1;0;0;0;0
Picture Bride (1995);0;0;0;0;0;1;0;1;0;0
Queen Margot (La Reine Margot) (1994);0;0;0;0;0;1;0;1;0;0
Quick and the Dead, The (1995);1;1;0;0;0;0;0;0;0;0
Roommates (1995);0;0;0;1;0;1;0;0;0;0
Ready to Wear (Pret-A-Porter) (1994);0;0;0;1;0;0;0;0;0;0
Three Colors: Red (1994);0;0;0;0;0;1;0;0;0;0
Three Colors: Blue (1993);0;0;0;0;0;1;0;0;0;0
Three Colors: White (1994);0;0;0;0;0;1;0;0;0;0
Red Firecracker, Green Firecracker (1994);0;0;0;0;0;1;0;0;0;0
Rent-a-Kid (1995);0;0;0;1;0;0;0;0;0;0
Relative Fear (1994);0;0;0;0;0;0;1;0;0;1
Stuart Saves His Family (1995);0;0;0;1;0;0;0;0;0;0
Swan Princess, The (1994);0;0;1;0;0;0;0;0;0;0
Secret of Roan Inish, The (1994);0;0;0;0;0;1;0;0;0;0
Specialist, The (1994);1;0;0;0;0;0;0;0;0;0
Stargate (1994);1;1;0;0;0;0;0;0;1;0
Santa Clause, The (1994);0;0;1;1;0;0;0;0;0;0
Shawshank Redemption, The (1994);0;0;0;0;0;1;0;0;0;0
Shallow Grave (1994);0;0;0;0;0;0;0;0;0;1
Suture (1993);0;0;0;0;0;0;0;0;0;1
Strawberry and Chocolate (Fresa y chocolate) (1993);0;0;0;0;0;1;0;0;0;0
Swimming with Sharks (1995);0;0;0;1;0;1;0;0;0;0
Sum of Us, The (1994);0;0;0;1;0;0;0;0;0;0
National Lampoon's Senior Trip (1995);0;0;0;1;0;0;0;0;0;0
To Live (Huozhe) (1994);0;0;0;0;0;1;0;0;0;0
Tank Girl (1995);1;0;0;1;0;0;0;0;1;0
Tales From the Crypt Presents: Demon Knight (1995);0;0;0;0;0;0;1;0;0;0
Star Trek: Generations (1994);1;1;0;0;0;0;0;0;1;0
Tales from the Hood (1995);0;0;0;1;0;0;1;0;0;0
Tom & Viv (1994);0;0;0;0;0;1;0;0;0;0
Village of the Damned (1995);0;0;0;0;0;0;1;0;1;0
Tommy Boy (1995);0;0;0;1;0;0;0;0;0;0
Vanya on 42nd Street (1994);0;0;0;0;0;1;0;0;0;0
Underneath, The (1995);0;0;0;0;0;0;0;0;0;1
Walking Dead, The (1995);0;0;0;0;0;1;0;0;0;0
What's Eating Gilbert Grape (1993);0;0;0;0;0;1;0;0;0;0
Virtuosity (1995);0;0;0;0;0;0;0;0;1;1
While You Were Sleeping (1995);0;0;0;1;0;0;0;1;0;0
War, The (1994);0;1;0;0;0;1;0;0;0;0
Double Happiness (1994);0;0;0;0;0;1;0;0;0;0
Muriel's Wedding (1994);0;0;0;1;0;0;0;1;0;0
Baby-Sitters Club, The (1995);0;0;1;0;0;0;0;0;0;0
Ace Ventura: Pet Detective (1994);0;0;0;1;0;0;0;0;0;0
Adventures of Priscilla, Queen of the Desert, The (1994);0;0;0;1;0;1;0;0;0;0
Backbeat (1993);0;0;0;0;0;1;0;0;0;0
Bitter Moon (1992);0;0;0;0;0;1;0;0;0;0
Bullets Over Broadway (1994);0;0;0;1;0;0;0;0;0;0
Clear and Present Danger (1994);1;1;0;0;0;0;0;0;0;1
Client, The (1994);0;0;0;0;0;1;0;0;0;1
Corrina, Corrina (1994);0;0;0;1;0;1;0;1;0;0
Crooklyn (1994);0;0;0;1;0;0;0;0;0;0
Crow, The (1994);1;0;0;0;0;0;0;1;0;1
Cobb (1994);0;0;0;0;0;1;0;0;0;0
Flintstones, The (1994);0;0;1;1;0;0;0;0;0;0
Forrest Gump (1994);0;0;0;1;0;0;0;1;0;0
Four Weddings and a Funeral (1994);0;0;0;1;0;0;0;1;0;0
Higher Learning (1995);0;0;0;0;0;1;0;0;0;0
I Like It Like That (1994);0;0;0;1;0;1;0;1;0;0
I Love Trouble (1994);1;0;0;1;0;0;0;0;0;0
It Could Happen to You (1994);0;0;0;0;0;1;0;1;0;0
Jungle Book, The (1994);0;1;1;0;0;0;0;1;0;0
Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993);0;0;0;0;0;0;0;0;0;0
Lion King, The (1994);0;0;1;0;0;0;0;0;0;0
Little Buddha (1993);0;0;0;0;0;1;0;0;0;0
Wes Craven's New Nightmare (1994);0;0;0;0;0;0;1;0;0;0
Mask, The (1994);0;0;0;1;1;0;0;0;0;0
Maverick (1994);1;0;0;1;0;0;0;0;0;0
Mrs. Parker and the Vicious Circle (1994);0;0;0;0;0;1;0;0;0;0
Naked Gun 33 1/3: The Final Insult (1994);0;0;0;1;0;0;0;0;0;0
Paper, The (1994);0;0;0;1;0;1;0;0;0;0
Reality Bites (1994);0;0;0;1;0;1;0;0;0;0
Red Rock West (1992);0;0;0;0;0;0;0;0;0;1
Richie Rich (1994);0;0;1;1;0;0;0;0;0;0
Safe Passage (1994);0;0;0;0;0;1;0;0;0;0
River Wild, The (1994);1;0;0;0;0;0;0;0;0;1
Speed (1994);1;0;0;0;0;0;0;1;0;1
Speechless (1994);0;0;0;1;0;0;0;1;0;0
Timecop (1994);1;0;0;0;0;0;0;0;1;0
True Lies (1994);1;1;0;1;0;0;0;1;0;0
When a Man Loves a Woman (1994);0;0;0;0;0;1;0;0;0;0
Wolf (1994);0;0;0;0;0;1;1;0;0;0
Wyatt Earp (1994);0;0;0;0;0;0;0;0;0;0
Bad Company (1995);1;0;0;0;0;0;0;0;0;0
Man of No Importance, A (1994);0;0;0;0;0;1;0;0;0;0
S.F.W. (1994);0;0;0;0;0;1;0;0;0;0
Low Down Dirty Shame, A (1994);1;0;0;1;0;0;0;0;0;0
Boys Life (1995);0;0;0;0;0;1;0;0;0;0
Colonel Chabert, Le (1994);0;0;0;0;0;1;0;1;0;0
Faster Pussycat! Kill! Kill! (1965);1;0;0;1;0;1;0;0;0;0
Jason's Lyric (1994);0;0;0;0;1;1;0;0;0;0
Secret Adventures of Tom Thumb, The (1993);0;1;1;0;0;0;0;0;0;0
Street Fighter (1994);1;0;0;0;0;0;0;0;0;0
Coldblooded (1995);1;0;0;0;0;0;0;0;0;0
Desert Winds (1995);0;0;0;0;0;1;0;0;0;0
Fall Time (1995);0;0;0;0;0;1;0;0;0;0
Fear, The (1995);0;0;0;0;0;0;1;0;0;0
Frank and Ollie (1995);0;0;0;0;0;0;0;0;0;0
Girl in the Cadillac (1995);0;0;0;0;0;1;0;0;0;0
Homage (1995);0;0;0;0;0;1;0;0;0;0
Mirage (1995);1;0;0;0;0;0;0;0;0;1
Open Season (1996);0;0;0;1;0;0;0;0;0;0
Two Crimes (1995);0;0;0;1;1;1;0;0;0;0
Brother Minister: The Assassination of Malcolm X (1994);0;0;0;0;0;0;0;0;0;0
Highlander III: The Sorcerer (1994);1;0;0;0;0;0;0;0;1;0
Federal Hill (1994);0;0;0;0;0;1;0;0;0;0
In the Mouth of Madness (1995);0;0;0;0;0;0;1;0;0;1
8 Seconds (1994);0;0;0;0;0;1;0;0;0;0
Above the Rim (1994);0;0;0;0;0;1;0;0;0;0
Addams Family Values (1993);0;0;0;1;0;0;0;0;0;0
You So Crazy (1994);0;0;0;1;0;0;0;0;0;0
Age of Innocence, The (1993);0;0;0;0;0;1;0;0;0;0
Airheads (1994);0;0;0;1;0;0;0;0;0;0
Air Up There, The (1994);0;0;0;1;0;0;0;0;0;0
Another Stakeout (1993);0;0;0;1;0;0;0;0;0;1
Bad Girls (1994);0;0;0;0;0;0;0;0;0;0
Barcelona (1994);0;0;0;1;0;0;0;1;0;0
Being Human (1993);0;0;0;0;0;1;0;0;0;0
Beverly Hillbillies, The (1993);0;0;0;1;0;0;0;0;0;0
Beverly Hills Cop III (1994);1;0;0;1;0;0;0;0;0;0
Black Beauty (1994);0;1;1;0;0;0;0;0;0;0
Blink (1994);0;0;0;0;0;0;0;0;0;1
Blown Away (1994);1;0;0;0;0;0;0;0;0;1
Blue Chips (1994);0;0;0;0;0;1;0;0;0;0
Blue Sky (1994);0;0;0;0;0;1;0;1;0;0
Body Snatchers (1993);0;0;0;0;0;0;1;0;1;1
Boxing Helena (1993);0;0;0;0;0;0;0;1;0;1
Bronx Tale, A (1993);0;0;0;0;0;1;0;0;0;0
Cabin Boy (1994);0;0;0;1;0;0;0;0;0;0
Calendar Girl (1993);0;0;0;0;0;1;0;0;0;0
Carlito's Way (1993);0;0;0;0;1;1;0;0;0;0
City Slickers II: The Legend of Curly's Gold (1994);0;0;0;1;0;0;0;0;0;0
Clean Slate (1994);0;0;0;1;0;0;0;0;0;0
Cliffhanger (1993);1;1;0;0;1;0;0;0;0;0
Coneheads (1993);0;0;0;1;0;0;0;0;1;0
